,listing_id,id,review_date,reviewer_id,reviewer_name,comments,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,review_year,review_month,review_day
1026,26809,60024638,2016-01-18,37911239,Jeremy,"Appartement très propre, calme et bien situé du côté de la Lausanne.
Nous avons passé un bon et agréable  séjour.
Eric est un hôte très accueillant que nous recommandons sans hésitation.","Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,70,2016,01,18
1035,26809,60359278,2016-01-22,45132344,Luigina,"I spent recently two days by Eric's home and it was definitely a great stay.
Eric is a very welcoming, kind, helpful and polite guy. 
He made me feel at home since the beginning and put special care in making my stay be a very comfortable one in all details.
He is an amicable guy, open to exchange and conversation.
He gave me also practical information about public transportation as well as a map of the town. 
Everything in the flat was very clean, tidy and cared of.
The flat and the buidling are of a high standard in a very nice and quiet location in Lausanne. 
I would no doubt recommend to stay by Eric's to anyone who wishes to have a great stay in Lausanne.
Luigina



","Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,70,2016,01,22
1044,26809,60899288,2016-01-29,51714467,Pascale,"Éric est un hôte chaleureux et arrangeant.
L'accueil est parfait et son appartement est agréablement décoré et très bien équipé.
La vue sur le lac est vraiment superbe.","Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,70,2016,01,29
1296,26809,128022235,2017-01-22,18549056,Manoug,Excellent comme les fois précédentes.,"Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52228,6.66425,Private room,70,2017,01,22
1614,233016,586681124,2020-01-02,307241152,Antonio,We enjoyed the place. Thank you!,Your little piece of Paradise!,1219574,Michael,Aigle,Ormont-Dessus,46.3496,7.16248,Entire home/apt,125,2020,01,02
1923,240886,228845556,2018-01-21,46347978,Anne,"This was the third time I stayed with Maria Luisa and it was excellent, just like the previous two times. The room with bathroom is clean and comfortable, the coffee and breakfast were first class, and Maria Luisa is a super friendly and considerate host. The location of the place is very convenient, walking distance to the railway station and to the center of Nyon. Highly recommended for anyone who needs a quiet, comfortable place to stay in Nyon.","CHARMING, LIGHT ROOM close to Geneva",1016038,Maria Luisa,Nyon,Nyon,46.37996647233928,6.231361814271324,Private room,82,2018,01,21
2345,245705,225319612,2018-01-06,6916660,Danièle,"Maison idéale, nous nous y sommes senties immédiatement bien..Isabelle est accueillante ,disponible et serviable. Je recommande ce gîte.","Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2018,01,06
2355,245705,226377760,2018-01-10,46835101,Jean Marc,"Isabelle a été un hôte très sympathique même si je ne l ai pas rencontré.
Elle a su répondre à toutes mes demandes.
Endroit calme en pleine nature.
Cafe thé pain confiture... merci.
Très bonne adresse si vous cherchez le repos et le calme.... ce matin les chamois étaient devant la fenêtre.... super","Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2018,01,10
2365,245705,229163321,2018-01-22,18164188,Tiago,"We had a very good time in Isabelle´s place. Isabelle was extremely helpful, facilitating everything we needed.
The house is a lovely location around 2 Km from Ste Croix. We could walk the distance through a pleasant country side route. From Ste Croix we could take the bus to Les Rasses for skiing.
The house itself was very comfortable and again Isabelle kindly made every effort to make our stay enjoyable.
Definitely recommended, even if you don´t have a car!","Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2018,01,22
2565,245705,403996641,2019-01-22,233618248,Elīna,Really nice place to stay,"Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2019,01,22
2575,245705,405425923,2019-01-27,175263483,Christine,"Alles hat super geklappt. Die Wohnung ist sehr geschmackvoll  eingerichtet.
Es hat uns an nichts gefehlt.
Zum Schneeschuhwandern ist die Gegend ein Traum,wir werden sicher wieder kommen.
Herzlichen Dank Isabelle","Gîte des Sauges, CH",1289165,Isabelle,Jura-Nord vaudois,Sainte-Croix,46.82018,6.52602,Entire home/apt,60,2019,01,27
3665,347194,368128064,2019-01-06,16821685,Marius Potgieter,"The description and photos are accurate. The location is truly brilliant - in the vines and overlooking the lake. The pretty chateau / main building is in front of you, so it’s a partial lake view but still great. There’s amazing hikes and cycling trails around. Anne is very easy to deal with and very responsive. The bathroom is new and very clean (but not big). Bedrooms work well and are big enough. The dining room is small and the only common area, which means there isn’t room to sit and relax on a couch. The CHF 50 extra charge for doing the dishes seems very harsh. We always do them anyway...Overall a lovely stay in a unique place.",Castle in the hill. Stunning view 1,1759902,Anne,Riviera-Pays-d'Enhaut,Chardonne,46.47443,6.80248,Hotel room,260,2019,01,06
4215,366458,124942782,2017-01-03,45470616,David,"Spyros was a fantastic host answering our queries very quickly.
His house has a very unique view you cannot get tired of enjoying, during day time or even night time. It is certainly one of the best views overlooking the vinyards and the lake. Highly recommended.
David","Luxury 4BD villa, 240m2, amazing  views",1850153,Spyros,Lavaux-Oron,Lutry,46.51247,6.70154,Entire home/apt,730,2017,01,03
4765,366458,586746213,2020-01-02,71820973,Daryn-Lee,We thoroughly enjoyed the beautiful setting of Spyros’s home. Steep driveway so be careful! I especially appreciated his quick responses and always being available to assist with any information even when it did not relate to the accommodation.,"Luxury 4BD villa, 240m2, amazing  views",1850153,Spyros,Lavaux-Oron,Lutry,46.51247,6.70154,Entire home/apt,730,2020,01,02
5015,436377,58178912,2016-01-01,7066369,Gretchen,"Aris' place was perfectly positioned, stylish, and very neat. It was a great location for our trip to Montreux. I would recommend it to friends!",Beautiful modern apart w/terrace,2167486,Henry,Riviera-Pays-d'Enhaut,Montreux,46.431038678523386,6.913378437041983,Entire home/apt,230,2016,01,01
5390,441365,59801041,2016-01-15,11302601,Eva,L'appartement était jolie et calme.,Centré 2 pieces superbe appartement,2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Entire home/apt,100,2016,01,15
5400,441365,60800628,2016-01-27,55428595,Etienne,"Merci à Ines et à son mari pour leur accueil très chaleureux.
Le logement au charme désuet, était confortable, très propre et bien chauffé. Les doubles fenêtres isolent très bien du bruit de la rue.
",Centré 2 pieces superbe appartement,2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Entire home/apt,100,2016,01,27
6790,465603,225317164,2018-01-06,93117636,Faress,"It is a very nice room 

Also , Elisabeth is very nice friendly host.",Spacious room - private bathroom,2312887,Elisabeth,Aigle,Rennaz,46.37578,6.917910000000001,Private room,39,2018,01,06
7262,484112,59313676,2016-01-09,47554350,Janeen,"We stay 4 days in here, perfect view, perfect kitchen, but the location is a little far form Flon, the advantage is quite at night. My mom like it very much. ",Great lake views and beautiful modern flat,1469498,Natalia,Lausanne,Lausanne,46.52513,6.615939999999999,Entire home/apt,88,2016,01,09
7280,484112,224087052,2018-01-02,110328289,Roman,"I can totally recommend this place. Good access by public transport, nice rooms, good wifi, well-equipped kitchen and a breath-taking view on the lake and the mountains. Moreover, I want to emphasize the very good and friendly communication with the host, who answered to all our questions within a very short period of time and provided very clear information.",Great lake views and beautiful modern flat,1469498,Natalia,Lausanne,Lausanne,46.52513,6.615939999999999,Entire home/apt,88,2018,01,02
7292,484112,367179815,2019-01-04,139222266,Herve,"Appartement d'un beau volume, extrêmement lumineux et une vue splendide sur le lac et la montagne....très calme et serein.",Great lake views and beautiful modern flat,1469498,Natalia,Lausanne,Lausanne,46.52513,6.615939999999999,Entire home/apt,88,2019,01,04
